"","topic","term","estimate","signif"
"1",1,"Year"," 1.54e-03","***"
"2",1,"Male"," 1.06e-02","*"
"3",2,"Year","-2.01e-03","***"
"4",2,"Male","-4.80e-03"," "
"5",3,"Year"," 4.36e-03","***"
"6",3,"Male","-3.38e-03"," "
"7",4,"Year","-2.73e-03","***"
"8",4,"Male"," 2.75e-02","***"
"9",5,"Year","-6.48e-05"," "
"10",5,"Male"," 1.20e-02","***"
"11",6,"Year","-1.47e-03","***"
"12",6,"Male","-7.48e-03","*"
"13",7,"Year","-3.29e-04"," "
"14",7,"Male"," 1.30e-02","***"
"15",8,"Year","-1.48e-03","***"
"16",8,"Male"," 2.57e-02","***"
"17",9,"Year"," 9.59e-04","**"
"18",9,"Male","-1.16e-02","***"
"19",10,"Year"," 1.28e-03","***"
"20",10,"Male","-1.03e-02","***"
"21",11,"Year"," 3.53e-03","***"
"22",11,"Male","-1.99e-03"," "
"23",12,"Year"," 5.12e-04","."
"24",12,"Male","-2.08e-02","***"
"25",13,"Year"," 1.70e-04"," "
"26",13,"Male"," 4.48e-03"," "
"27",14,"Year"," 4.82e-04","."
"28",14,"Male","-1.13e-02","***"
"29",15,"Year","-4.89e-03","***"
"30",15,"Male"," 1.14e-02","**"
"31",16,"Year"," 1.07e-03","***"
"32",16,"Male","-5.13e-03"," "
"33",17,"Year","-8.12e-05"," "
"34",17,"Male","-6.76e-03","**"
"35",18,"Year"," 3.30e-04"," "
"36",18,"Male","-7.76e-03","*"
"37",19,"Year","-8.97e-04","**"
"38",19,"Male"," 4.09e-03"," "
"39",20,"Year","-2.87e-04"," "
"40",20,"Male","-1.77e-02","***"
